"repository_owner";"repository_url";"repository_name";"maximum(sum(delta_stargazing))";"repository_description";"repository_fork";"repository_has_wiki";"repository_pushed_at";"repository_master_branch";"repository_has_issues";"repository_has_downloads";"repository_created_at"
"mvaladas";"https://github.com/mvaladas/Icons";"Icons";"7.0";"Collection of free icons";"false";"false";"2011-06-01 16:37:48";"master";"false";"true";"2010-01-13 11:49:39"
"neo4j";"https://github.com/neo4j/community";"community";"7.0";"Neo4j Graph Database - Community Edition";"false";"false";"2012-12-19 00:54:31";"master";"false";"true";"2011-04-07 09:58:54"
"newbamboo";"https://github.com/newbamboo/panda";"panda";"7.0";"Video encoding made easy with AWS. Panda is now also available as a hosted service! Check out the site for more details.";"false";"true";"2009-12-02 17:10:25";"master";"true";"true";"2008-06-05 20:20:25"
"nilmethod";"https://github.com/nilmethod/rainbows";"rainbows";"7.0";"Unofficial mirror of Rainbows! (updated nightly) - Unicorn for sleepy apps and slow clients";"false";"false";"2013-03-02 00:00:11";"master";"false";"true";"2011-06-15 03:13:16"
"nud";"https://github.com/nud/libpeas";"libpeas";"7.0";"GObject plugins library";"fals"BBYOpen";"https://github.com/BBYOpen/BBYIDX";"BBYIDX";"6.0";"BBYIDX is a free and open source idea-gathering application written in Ruby and distributed under the GNU Affero General Public License.";"false";"true";"2012-01-06 22:04:51";"master";"true";"true";"2010-12-11 00:48:14"
"Flightphase";"https://github.com/Flightphase/ofxTimeline";"ofxTimeline";"6.0";"lightweight timeline tools for openFrameworks";"false";"true";"2012-09-24 08:00:02";"";"true";"true";"2011-07-21 02:25:27"
"IvanChepurnyi";"https://github.com/IvanChepurnyi/EcomDev_PHPUnit";"EcomDev_PHPUnit";"6.0";"Magento PHPUnit Integration";"false";"true";"2013-02-17 22:32:54";"master";"true";"true";"2011-07-10 13:02:40"
"OpenNI";"https://github.com/OpenNI/UnityWrapper";"UnityWrapper";"6.0";"OpenNI/NITE Unity Integration click to edit";"false";"true";"2010-12-29 20:13:02";"master";"true";"true";"2010-12-28 23:21:01"
"adamv";"https://github.com/adamv/homebrew-alt";"homebrew-alt";"6.0";"Alternate formulae repos for Homebrew";"false";"true";"2012-08-10 17:56:16";"";"true";"true";"2011-01-31 04:11:11"
"alex8224";"https://github.com/alex8224/webqq-cli";"webqq-cli";"6.0";"";"false";"true";"2012-11-23 07:32:39";"";"true";"true";"2011-01-20 09:42:51"
"apache";"https://github.com/apache/struts2";"struts2";"6.0";"Mirror of Apache Struts 2";"false";"false";"2013-03-06 10:47:32";"";"false";"true";"2009-05-21 01:39:01"
"apache";"https://github.com/apache/struts2";"struts2";"6.0";"Mirror of Apache Struts 2";"false";"false";"2013-08-09 15:42:07";"";"false";"true";"2009-05-21 01:39:01"
"benwaine";"https://github.com/benwaine/Phabric";"Phabric";"6.0";"A DB mockup / fixture creation library for Behat";"false";"true";"2012-12-09 21:03:52";"";"true";"true";"2011-07-27 00:10:50"
"bitly";"https://github.com/bitly/bitly_ios_sdk";"bitly_ios_sdk";"6.0";"";"false";"true";"2012-06-21 18:29:37";"master";"true";"true";"2011-06-28 19:55:49"
"brokedesigner";"https://github.com/brokedesigner/libsub";"libsub";"6.0";"";"false";"true";"";"master";"true";"true";"2011-09-28 01:01:55"
"cdown";"https://github.com/cdown/tf2configs";"tf2configs";"6.0";"My configs for TF2.";"false";"true";"2013-01-30 08:17:11";"master";"true";"true";"2011-05-22 20:37:46"
"city41";"https://github.com/city41/CocosNet";"CocosNet";"6.0";"A port of Cocos2D to C# for MonoTouch.";"false";"true";"2010-09-25 22:03:15";"master";"true";"true";"2009-10-18 02:29:19"
"cloudsnap";"https://github.com/cloudsnap/evernode";"evernode";"6.0";"Evernote node.js API - make calls to the Evernote API from node.js";"false";"true";"2012-07-01 23:14:51";"";"true";"true";"2011-07-29 22:29:41"
"crshd";"https://github.com/crshd/dots";"dots";"6.0";"dotfiles";"false";"true";"2011-06-20 09:47:10";"master";"true";"true";"2010-12-26 12:36:03"
"devindoty";"https://github.com/devindoty/iOS-Transition-Pack";"iOS-Transition-Pack";"6.0";"UIViewController category with transition animation additions.";"false";"true";"2011-01-14 06:40:32";"";"true";"true";"2011-01-14 06:37:40"
"devindoty";"https://github.com/devindoty/iOS-Transition-Pack";"iOS-Transition-Pack";"6.0";"UIViewController category with transition animation additions.";"false";"true";"2011-01-14 06:40:32";"master";"true";"true";"2011-01-14 06:37:40"
"energyos";"https://github.com/energyos/OpenESPI";"OpenESPI";"6.0";"The Open Source Energy Services Provider Interface Project";"false";"true";"2013-05-01 22:56:17";"master";"true";"true";"2011-09-27 13:47:38"
"happyninjas";"https://github.com/happyninjas/fuel-ninjauth";"fuel-ninjauth";"6.0";"A module to allow social logins using multiple driver-based providers.";"false";"true";"2012-10-23 04:29:13";"";"true";"true";"2011-09-04 13:15:49"
"icylisper";"https://github.com/icylisper/jark";"jark";"6.0";"Jark is a tool to run Clojure code on the JVM, interactively and remotely.";"false";"true";"2013-02-25 18:27:19";"master";"true";"true";"2011-07-19 11:30:59"
"imathis";"https://github.com/imathis/hsl-color-picker";"hsl-color-picker";"6.0";"A most excellent HSL color picker";"false";"true";"2012-11-26 17:27:42";"";"true";"true";"2011-03-01 07:07:16"
"jdevalk";"https://github.com/jdevalk/Google-News-Sitemap";"Google-News-Sitemap";"6.0";"News XML Sitemap module for the WordPress SEO plugin";"false";"true";"2012-12-18 20:54:55";"master";"true";"true";"2011-08-31 12:53:32"
"kless";"https://github.com/kless/goconfig";"goconfig";"6.0";"Configuration file parser for INI format";"true";"true";"2012-06-22 07:02:55";"";"false";"true";"2010-08-22 09:30:53"
"kvz";"https://github.com/kvz/kvzlib";"kvzlib";"6.0";"Miscellaneous code snippets. No warranties";"false";"true";"2012-08-28 09:23:13";"master";"true";"true";"2009-09-03 11:32:31"
"macrobits";"https://github.com/macrobits/usbmuxd";"usbmuxd";"6.0";"None";"false";"true";"";"master";"true";"true";"2011-05-26 01:46:16"
"madvertise";"https://github.com/madvertise/madvertise-android-sdk";"madvertise-android-sdk";"6.0";"madvertise SDK for Android";"false";"true";"2013-02-22 12:55:51";"master";"true";"true";"2011-03-16 17:21:34"
"mike-burns";"https://github.com/mike-burns/github";"github";"6.0";"The github API for Haskell";"false";"true";"2012-11-03 19:45:53";"";"true";"true";"2011-10-30 22:38:34"
"mnazim";"https://github.com/mnazim/dotfiles";"dotfiles";"6.0";"My dotfiles (vim / bash etc.)";"true";"false";"2011-08-13 17:45:32";"master";"false";"false";"2010-09-22 15:20:39"
"opudrovs";"https://github.com/opudrovs/Tilt-Monster";"Tilt-Monster";"6.0";"Corona SDK source code of Popular iOS Game (formerly known as Doodle Dash!)";"false";"true";"2011-05-26 08:06:24";"master";"false";"true";"2011-05-31 01:44:45"
"rackspace";"https://github.com/rackspace/python-cloudfiles";"python-cloudfiles";"6.0";"Python language bindings for Cloud Files API";"false";"true";"2012-11-13 20:19:49";"master";"true";"true";"2009-06-26 16:46:58"
"rackspace";"https://github.com/rackspace/ruby-cloudfiles";"ruby-cloudfiles";"6.0";"Ruby API for Cloud Files";"false";"true";"2012-07-03 06:36:22";"";"true";"true";"2009-05-14 17:04:22"
"renee-project";"https://github.com/renee-project/renee";"renee";"6.0";"The friendly rack-based web framework!";"false";"true";"2012-04-21 00:33:21";"";"true";"true";"2011-10-15 01:10:21"
"ronin-ruby";"https://github.com/ronin-ruby/ronin-ruby.github.com";"ronin-ruby.github.com";"6.0";"The new Ronin Ruby website.";"false";"false";"2013-01-10 08:30:54";"master";"true";"true";"2010-06-13 01:31:10"
"sebastianbergmann";"https://github.com/sebastianbergmann/php-object-freezer";"php-object-freezer";"6.0";"Library that provides the low-level functionality to store ('freeze') and retrieve ('thaw') PHP objects from an object store.";"false";"false";"2013-02-04 13:57:51";"master";"true";"false";"2009-02-09 17:02:36"
"stigkj";"https://github.com/stigkj/Skype4Py";"Skype4Py";"6.0";"Fork of the Skype4Py v1.0.32.0 Python library with a simple patch for doing thread handling correctly on Python v2.6 and up on OS X";"false";"true";"2012-10-25 07:51:11";"";"true";"true";"2011-05-14 22:46:04"
"FreeRPGengine";"https://github.com/FreeRPGengine/Free-RPG-Engine-FaceBook-Game-App";"Free-RPG-Engine-FaceBook-Game-App";"5.0";"Free RPG Engine for FaceBook such as Mafia Wars, for fun or profit.";"false";"true";"2011-10-01 06:14:02";"";"true";"true";"2011-09-29 04:54:45"
"GregJ";"https://github.com/GregJ/music.js";"music.js";"5.0";"music theory library for javascript";"false";"true";"2012-03-12 06:06:09";"";"true";"true";"2011-05-22 22:47:49"
"JoomFish";"https://github.com/JoomFish/jf-future";"jf-future";"5.0";"Joom!Fish 2.5 core development";"false";"true";"2013-01-21 23:07:39";"";"true";"true";"2011-10-22 10:11:46"
"Mashape";"https://github.com/Mashape/unicorn-obj-c";"unicorn-obj-c";"5.0";"Unicorn in Objective-C: Simplified, lightweight HTTP library.";"false";"true";"2013-04-16 21:52:49";"master";"true";"true";"2011-04-11 21:29:45"
"Taffer";"https://github.com/Taffer/UnitySimpleMapGenerator";"UnitySimpleMapGenerator";"5.0";"A Unity3D port of Baran Kahyaoglu's Map Generator - http://www.barankahyaoglu.com/blog/page/MapGenerator.aspx";"false";"true";"2012-06-10 19:52:00";"";"true";"true";"2011-11-23 13:09:19"
"Tawlk";"https://github.com/Tawlk/hyve";"hyve";"5.0";"Social media crawling engine implemented totally browser side in JS";"false";"true";"2012-12-02 03:42:02";"develop";"true";"true";"2011-05-27 08:31:15"
"apache";"https://github.com/apache/amber";"amber";"5.0";"Mirror of Apache Amber (incubating)";"false";"false";"2013-01-16 09:22:39";"";"false";"true";"2011-02-14 08:00:30"
"apache";"https://github.com/apache/wave";"wave";"5.0";"Mirror of Apache Wave";"false";"false";"2013-02-04 17:55:48";"";"false";"true";"2011-10-27 07:00:10"
"appMobi";"https://github.com/appMobi/android";"android";"5.0";"";"false";"true";"2012-01-11 19:42:05";"";"true";"true";"2011-11-23 14:19:38"
"bbommarito";"https://github.com/bbommarito/vim-slim";"vim-slim";"5.0";"A clone of the slim vim plugin from stonean. For use with Pathogen.";"false";"true";"2012-10-26 10:49:24";"";"true";"true";"2011-03-12 11:02:24"
"bpietraszuk";"https://github.com/bpietraszuk/Fortunes";"Fortunes";"5.0";"Project in RoR technology.";"false";"true";"2011-11-22 21:50:57";"master";"true";"true";"2011-11-22 21:42:57"
"dermdaly";"https://github.com/dermdaly/ButtonMaker";"ButtonMaker";"5.0";"Very simple iPhone app for creating the images for use in iPhone Applications. Use under the simulator on Mac OS X only";"false";"true";"2012-02-06 09:33:33";"";"true";"true";"2010-04-29 16:41:52"
"emacsmirror";"https://github.com/emacsmirror/emacs";"emacs";"5.0";"An unofficial mirror of the semi-official git mirror of the official bazaar repository";"false";"false";"2013-02-27 19:53:04";"master";"false";"false";"2009-12-05 11:11:45"
"emacsmirror";"https://github.com/emacsmirror/emacs";"emacs";"5.0";"An unofficial mirror of the semi-official git mirror of the official bazaar repository";"false";"false";"2013-03-20 13:57:48";"master";"false";"false";"2009-12-05 11:11:45"
"erikvold";"https://github.com/erikvold/toolbarbutton-jplib";"toolbarbutton-jplib";"5.0";"A toolbar button module for Jetpacks";"true";"false";"2012-05-20 19:35:34";"";"false";"true";"2011-09-01 00:23:14"
"erikvold";"https://github.com/erikvold/toolbarbutton-jplib";"toolbarbutton-jplib";"5.0";"A toolbar button module for Jetpacks";"true";"false";"2012-05-20 19:35:34";"master";"false";"true";"2011-09-01 00:23:14"
"fb55";"https://github.com/fb55/node-htmlparser";"node-htmlparser";"5.0";"Forgiving HTML/XML/RSS parser for node in pure JavaScript";"true";"true";"2013-02-25 14:16:04";"master";"true";"true";"2011-08-27 12:25:15"
"forward";"https://github.com/forward/mustachio-chrome";"mustachio-chrome";"5.0";"Chrome extension for mustachio";"false";"true";"2012-07-17 07:38:20";"master";"true";"true";"2011-08-12 14:56:41"
"jarodl";"https://github.com/jarodl/JLNotebookView";"JLNotebookView";"5.0";"Draws notebook lines on a view.";"false";"true";"2012-04-02 18:05:37";"";"true";"true";"2011-03-22 22:24:39"
"jwage";"https://github.com/jwage/Twitter";"Twitter";"5.0";"PHP 5.3 OOP interface to the Twitter API";"false";"true";"2013-01-12 19:57:37";"";"true";"true";"2009-10-29 21:32:33"
"laran";"https://github.com/laran/sgml";"sgml";"5.0";"SGML parsing & manipulation library";"false";"true";"";"master";"true";"true";"2010-11-25 00:16:59"
"leogalmeida";"https://github.com/leogalmeida/slim-rails";"slim-rails";"5.0";"Provides rails 3 generators for slim";"false";"true";"2012-02-09 12:47:31";"";"true";"true";"2010-10-25 01:15:03"
"maccman";"https://github.com/maccman/hem";"hem";"5.0";"Bundler for Node/CommonJS/Web Apps";"false";"true";"2013-01-10 17:52:33";"";"true";"true";"2011-08-02 16:21:29"
"maccman";"https://github.com/maccman/spine.app";"spine.app";"5.0";"Spine App generator";"false";"true";"2012-06-03 22:43:32";"";"true";"true";"2011-05-13 02:58:00"
"nathos";"https://github.com/nathos/middleman-bootstrap";"middleman-bootstrap";"5.0";"Middleman Bootstrap is a clean project starting point for the Middleman static site generator. It includes HTML5 boilerplate, your choice of grid systems, and lots of best practices.";"false";"true";"2013-01-18 16:46:34";"";"true";"true";"2011-04-25 21:09:24"
"ofmlabs";"https://github.com/ofmlabs/codecs";"codecs";"5.0";"Javascript decoders side by side";"false";"true";"2012-07-19 14:50:32";"master";"true";"true";"2011-11-09 18:22:52"
"openshift";"https://github.com/openshift/redmine-openshift-quickstart";"redmine-openshift-quickstart";"5.0";"Redmine project management software for OpenShift";"false";"true";"2013-01-25 14:22:11";"master";"true";"true";"2011-08-24 16:35:39"
"owainlewis";"https://github.com/owainlewis/cuepoint";"cuepoint";"5.0";"HTML5 video subtitles and cuepoints";"false";"true";"2012-01-31 08:13:51";"";"true";"true";"2011-06-24 19:58:26"
"paulirish";"https://github.com/paulirish/gf3hairday";"gf3hairday";"5.0";"ITS FUCKING GLAMOUROUS FEBRUARY 3rd!";"false";"true";"";"";"true";"true";"2011-02-03 05:19:38"
"philsturgeon";"https://github.com/philsturgeon/codeigniter-github";"codeigniter-github";"5.0";"Or Git-Igniter as it should be called. Wrapper for the github API in PHP (will start when I get home).";"false";"true";"2009-12-30 09:29:26";"";"true";"true";"2009-03-26 11:21:42"
"pplante";"https://github.com/pplante/zxing-android";"zxing-android";"5.0";"custom build of barcode scanner for android with portrait oriented preview - patches from: http://code.google.com/p/zxing/issues/detail?id=178";"false";"true";"2011-09-16 17:37:51";"";"true";"true";"2011-06-22 02:36:22"
"rackspace";"https://github.com/rackspace/java-cloudfiles";"java-cloudfiles";"5.0";"Java language bindings for Cloud Files API";"false";"true";"2012-12-20 21:04:00";"";"true";"true";"2009-07-09 21:22:18"
"rgov";"https://github.com/rgov/macgdb";"macgdb";"5.0";"Forward-port of Apple's Mac OS X-specific patches to gdb.";"false";"true";"2010-04-02 00:05:10";"master";"true";"true";"2009-10-31 04:54:08"
"ruby";"https://github.com/ruby/ruby-lang.org";"ruby-lang.org";"5.0";"The official port of ruby-lang.org to Jekyll and a git-based workflow.";"false";"true";"2013-01-24 07:06:15";"";"true";"true";"2011-08-07 01:54:03"
"skoba";"https://github.com/skoba/ruby-impl-openehr";"ruby-impl-openehr";"5.0";"Ruby implementation of the openEHR specification";"false";"true";"2012-07-31 14:11:08";"";"true";"true";"2011-05-04 10:23:23"
"socrata";"https://github.com/socrata/socrata-python";"socrata-python";"5.0";"A library for accessing the Socrata API from Python";"false";"true";"2012-05-09 16:43:39";"";"true";"true";"2010-02-01 23:43:07"
"squeeks";"https://github.com/squeeks/Pusher-PHP";"Pusher-PHP";"5.0";"PHP Interface to the Pusher API";"false";"false";"2012-08-14 22:41:03";"";"true";"true";"2010-04-12 12:42:38"
"subsume";"https://github.com/subsume/django-subscription";"django-subscription";"5.0";"Generic framework for tracking subscriptions to things and emitting notices to subscribed users";"false";"true";"2011-11-14 03:45:18";"master";"true";"true";"2010-01-20 07:40:43"
"sunlightlabs";"https://github.com/sunlightlabs/ruby-sunlightapi";"ruby-sunlightapi";"5.0";"Ruby wrapper for the Sunlight Labs API";"false";"true";"2012-05-31 18:19:36";"";"true";"true";"2009-06-25 21:08:32"
"twitter";"https://github.com/twitter/scala-json";"scala-json";"5.0";"Scala JSON toolkit. Originally from the Odersky 'Stairway' Book, tightened up and tests added by Twitter, Inc.";"true";"true";"2012-02-15 22:03:23";"";"false";"true";"2011-06-28 20:20:52"
"AlekseyKorzun";"https://github.com/AlekseyKorzun/phpAudit";"phpAudit";"4.0";"phpAudit is a simple shell script that scans PHP files for possible security risks.";"false";"true";"2011-06-25 20:02:06";"master";"true";"true";"2011-06-25 05:58:13"
"E-NOISE";"https://github.com/E-NOISE/jQuery.fetchTweets";"jQuery.fetchTweets";"4.0";"jQuery.fetchTweets() is a jQuery plugin that displays a user's tweets in a selected DOM element.";"false";"true";"2012-06-26 23:01:15";"master";"true";"true";"2010-10-24 04:48:35"
"Fantomas42";"https://github.com/Fantomas42/emencia-django-newsletter";"emencia-django-newsletter";"4.0";"An app for sending newsletter by email to a contact list.";"false";"false";"2012-01-20 15:10:47";"";"true";"true";"2009-10-13 09:43:33"
"JeffreyWay";"https://github.com/JeffreyWay/Simple-CI-Authentication";"Simple-CI-Authentication";"4.0";"";"false";"true";"2011-05-26 17:08:57";"master";"true";"true";"2011-05-26 17:08:43"
"Meekro";"https://github.com/Meekro/meekrodb";"meekrodb";"4.0";"MeekroDB -- The Simple PHP MySQL Library";"false";"true";"2012-09-21 04:05:29";"";"true";"true";"2011-03-01 05:01:27"
"Ododo";"https://github.com/Ododo/PyGameHosting";"PyGameHosting";"4.0";"A python script for games server hosting.";"false";"true";"2011-02-08 23:57:55";"master";"true";"true";"2011-02-06 00:34:02"
"Toura";"https://github.com/Toura/mulberry";"mulberry";"4.0";"Mulberry: A toolkit for developing mobile applications using Javascript, HTML, CSS, and PhoneGap.";"false";"true";"2013-05-24 09:35:33";"master";"true";"true";"2011-08-31 17:43:23"
"Yelp";"https://github.com/Yelp/YelpKit";"YelpKit";"4.0";"Objective-C library for iOS development";"false";"true";"2013-07-12 01:17:07";"master";"true";"true";"2011-08-28 22:57:31"
"adpande";"https://github.com/adpande/XServer";"XServer";"4.0";"My own web server and web development framework";"false";"true";"";"master";"true";"true";"2009-09-19 09:10:41"
"akashagrawal";"https://github.com/akashagrawal/Poppler";"Poppler";"4.0";"Bug Fixes for poppler";"false";"true";"";"master";"true";"true";"2011-07-12 07:18:57"
"altrano";"https://github.com/altrano/codeigniter-twig";"codeigniter-twig";"4.0";"A basic CodeIgniter library for using the Twig template language";"true";"true";"2010-10-23 01:32:04";"master";"false";"true";"2010-10-23 00:33:07"
"andrewtj";"https://github.com/andrewtj/cutkey";"cutkey";"4.0";"An Erlang app for generating RSA keys";"false";"true";"2013-05-03 00:52:34";"master";"true";"true";"2011-05-11 13:21:56"
"bartekd";"https://github.com/bartekd/vim-dart";"vim-dart";"4.0";"Syntax for Dart Lang | mirror of http://bit.ly/dart-lang-vim-syntax";"false";"false";"2012-12-13 14:14:21";"";"true";"true";"2011-11-22 16:23:17"
"box";"https://github.com/box/box-python-sdk";"box-python-sdk";"4.0";"A Python library for using the box API";"false";"true";"2011-08-16 20:40:29";"master";"true";"true";"2011-06-14 00:14:07"
"c9";"https://github.com/c9/nodemanual.org";"nodemanual.org";"4.0";"An assortment of essential Node.js dags, API references, and developer tutorials. D'ya like dags? What? Oh, **docs**. Sure, I like 'dags.'";"false";"false";"2012-11-26 16:21:58";"";"true";"true";"2011-11-22 22:31:49"
"cogniti";"https://github.com/cogniti/ruby-hwp";"ruby-hwp";"4.0";"ruby-hwp is a library to handle *.hwp documents.";"false";"true";"2013-10-20 10:05:15";"master";"true";"true";"2010-11-06 13:00:28"
"cptspiff";"https://github.com/cptspiff/fymc";"fymc";"4.0";"FYMC";"true";"false";"2013-10-20 18:58:19";"master";"false";"true";"2011-01-16 17:25:59"
"daleharvey";"https://github.com/daleharvey/jquery.couch.js";"jquery.couch.js";"4.0";"A Javascript Client library for CouchDB";"false";"true";"2011-09-05 18:49:03";"master";"true";"true";"2011-09-05 14:15:14"
"dandoescode";"https://github.com/dandoescode/codeigniter-events";"codeigniter-events";"4.0";"A simple events library for CodeIgniter";"false";"true";"2010-07-29 19:09:57";"master";"true";"true";"2010-07-25 01:40:27"
"darwalenator";"https://github.com/darwalenator/guard-markdown";"guard-markdown";"4.0";"Guard plugin to monitor markdown files and convert them to html with Kramdown";"false";"true";"2012-03-08 10:15:07";"";"true";"true";"2011-06-01 09:39:17"
"deborah64554";"https://github.com/deborah64554/ufw";"ufw";"4.0";"portfolio site";"false";"true";"2013-05-26 06:22:38";"master";"true";"true";"2010-08-28 00:06:26"
"didnotread";"https://github.com/didnotread/didnotread.org";"didnotread.org";"4.0";"Terms of Service; Didn't Read � ratings to make website policies and agreements easier to understand";"false";"true";"2013-02-06 17:50:57";"master";"true";"true";"2011-11-26 07:17:56"
"guerda";"https://github.com/guerda/banshee";"banshee";"4.0";"A simple mirror for banshee";"false";"false";"";"master";"false";"false";"2010-10-18 22:22:16"
"hype";"https://github.com/hype/hype";"hype";"4.0";"the Hype Framework is a collaborative visual framework developed in FDT and AS3 by Branden Hall and Joshua Davis.";"false";"true";"2011-10-30 14:44:36";"master";"true";"true";"2009-10-14 16:30:21"
"initlove";"https://github.com/initlove/weibo_rest";"weibo_rest";"4.0";"weibo implemention relay on librest";"false";"true";"";"master";"true";"true";"2011-11-17 06:20:26"
"kaeppler";"https://github.com/kaeppler/signpost-examples";"signpost-examples";"4.0";"example code for how to access various OAuth service providers using Signpost";"false";"true";"2011-08-22 08:11:35";"";"true";"true";"2010-03-12 17:16:01"
"kloojed";"https://github.com/kloojed/BrickPile";"BrickPile";"4.0";"BrickPile is an open source content management system built on RavenDB and ASP.NET MVC 4.";"false";"true";"2012-11-15 13:42:26";"";"true";"true";"2010-11-21 12:40:33"
"madvertise";"https://github.com/madvertise/madvertise-ios-sdk";"madvertise-ios-sdk";"4.0";"madvertise SDK for iPhone / iPod / iPad";"false";"true";"2012-11-06 13:46:24";"master";"true";"true";"2011-03-01 16:15:04"
"markdown";"https://github.com/markdown/discussion";"discussion";"4.0";"Discussion surrounding the advancement of Markdown and standardization of existing language extensions";"false";"true";"";"master";"true";"true";"2011-06-07 05:47:24"
"mastodon";"https://github.com/mastodon/DconfEditor";"DconfEditor";"4.0";"";"false";"true";"2011-05-19 12:35:27";"master";"true";"true";"2011-05-19 11:42:21"
"mwaterfall";"https://github.com/mwaterfall/ZipKit";"ZipKit";"4.0";"Git mirror of Karl Moskowski's ZipKit";"false";"true";"2012-10-04 14:29:36";"master";"true";"true";"2011-04-27 11:34:32"
"numenta";"https://github.com/numenta/grok-java";"grok-java";"4.0";"Java client library for the Grok API";"false";"true";"2013-05-03 23:36:00";"master";"true";"true";"2011-10-21 02:29:58"
"ouyangzhiping";"https://github.com/ouyangzhiping/paulgraham";"paulgraham";"4.0";"paulgraham???????";"false";"true";"2012-05-12 17:29:09";"master";"true";"true";"2011-09-15 06:10:54"
"paulp";"https://github.com/paulp/scala-faq";"scala-faq";"4.0";"";"false";"true";"2010-09-13 15:58:54";"master";"true";"true";"2010-09-13 12:28:24"
"plataformatec";"https://github.com/plataformatec/devise_example";"devise_example";"4.0";"An example app which uses Devise";"false";"true";"2011-09-27 03:38:04";"";"false";"false";"2009-10-08 18:25:08"
"playnicelyapp";"https://github.com/playnicelyapp/django-badbrowser";"django-badbrowser";"4.0";"Browser detection (including browser upgrade notices) for Django";"false";"true";"2012-03-16 10:37:13";"master";"true";"true";"2010-08-13 14:52:59"
"plexinc-plugins";"https://github.com/plexinc-plugins/Netflix.bundle";"Netflix.bundle";"4.0";"";"false";"true";"2013-08-14 23:52:51";"master";"true";"true";"2010-07-29 09:22:24"
"plexinc-plugins";"https://github.com/plexinc-plugins/hulu.bundle";"hulu.bundle";"4.0";"";"false";"true";"2013-09-28 14:19:14";"master";"true";"true";"2010-07-29 09:12:07"
"purefn";"https://github.com/purefn/marvin";"marvin";"4.0";"IRC bot";"false";"true";"2013-04-12 22:31:30";"master";"true";"true";"2011-07-01 23:15:11"
"rackspace";"https://github.com/rackspace/python-proboscis";"python-proboscis";"4.0";"Proboscis brings TestNG features to Python.";"false";"true";"2012-07-09 22:37:32";"";"true";"true";"2011-05-06 22:31:15"
"raveldata";"https://github.com/raveldata/goldenorb";"goldenorb";"4.0";"GoldenOrb is an open-source implementation of Pregel, Google's graph processing framework";"false";"true";"2011-08-09 20:30:17";"";"true";"true";"2011-02-02 00:32:50"
"ravendb";"https://github.com/ravendb/contrib";"contrib";"4.0";"External Contributions to RavenDB";"false";"true";"2012-12-12 01:37:22";"";"true";"true";"2010-10-20 09:19:06"
"richo";"https://github.com/richo/vimpc";"vimpc";"4.0";"vi like mpd client";"false";"true";"2012-11-22 04:02:44";"";"true";"true";"2011-09-12 02:09:59"
"rigormotis";"https://github.com/rigormotis/dotfiles";"dotfiles";"4.0";"collection of dotfiles to make switching/upgrading comps easier";"false";"true";"2012-01-26 16:15:44";"";"true";"true";"2011-05-03 21:47:17"
"robins";"https://github.com/robins/evince";"evince";"4.0";"Evince repo";"false";"true";"";"master";"true";"true";"2011-08-27 21:41:03"
"rubelw";"https://github.com/rubelw/IOS-Streaming-Browser";"IOS-Streaming-Browser";"4.0";"An embedded HTTP server for iPhone or iPad which steams the view in 1 second intervals. This allows users to conduct presentations, or allows others to watch what you are doing on a screen. It is designed to allow teachers to view student activity, or to allow students to give presentations from their iPads. From a teacher perspective, it will allow teachers to view the activity of all students in a classroom, if this application is set as the default web-browser, and broadcasting is turned 'ON' by defaults. The second feature is the ability to filter student content at the application-level. This is a critical features as schools implement mobile devices which will be connected to non-filtered networks. Filtering is currently limiting Google and UTube searches to 'safe' content.";"false";"true";"2011-06-13 04:01:14";"master";"true";"true";"2011-05-06 17:23:50"
"ryuzee";"https://github.com/ryuzee/PHPMyScrum";"PHPMyScrum";"4.0";"Open source project management tool for Scrum(one of the Agile methods)";"false";"true";"2012-11-16 14:09:30";"master";"true";"true";"2010-05-10 02:20:38"
"shazron";"https://github.com/shazron/phonegap-mac";"phonegap-mac";"4.0";"obsolete: see http://github.com/apache/cordova-osx [PhoneGap on the Mac (desktop)]";"false";"true";"2011-07-09 19:59:31";"";"true";"true";"2010-04-19 12:19:43"
"shellex";"https://github.com/shellex/MaDe";"MaDe";"4.0";"Ma De Editor";"false";"true";"2011-12-08 05:47:01";"";"true";"true";"2011-11-14 02:42:41"
"shuttler";"https://github.com/shuttler/lsm-tree";"lsm-tree";"4.0";"Log-Structured Merge-Tree (LSM-Tree) storage engine";"false";"true";"2012-07-20 09:10:40";"";"true";"true";"2011-11-22 09:50:10"
"studiomobile";"https://github.com/studiomobile/libcrypto";"libcrypto";"4.0";"";"false";"true";"";"master";"true";"true";"2011-08-05 10:36:35"
"studiomobile";"https://github.com/studiomobile/libssl";"libssl";"4.0";"";"false";"true";"";"master";"true";"true";"2011-08-05 10:37:16"
"taylorotwell";"https://github.com/taylorotwell/redavel";"redavel";"4.0";"A Minimalistic Redis Client For PHP";"false";"true";"2013-02-27 16:32:11";"master";"true";"true";"2011-10-27 02:52:21"
"unforeseen";"https://github.com/unforeseen/fuel-amazon-ses";"fuel-amazon-ses";"4.0";"FuelPHP package for Amazon SES";"false";"true";"2012-03-03 15:25:52";"";"true";"true";"2011-10-29 19:47:34"
"versapay";"https://github.com/versapay/jekyll-s3";"jekyll-s3";"4.0";"Push your Jekyll Blog to Amazon S3!";"false";"true";"2012-08-29 07:02:24";"";"true";"true";"2011-04-02 00:30:37"
